ZIP,City Name,State Name,State,ZCTA
00501,Holtsville,New York,NY,11742
00544,Holtsville,New York,NY,11742
00601,Adjuntas,Puerto Rico,PR,00601
00602,Aguada,Puerto Rico,PR,00602
00603,Aguadilla,Puerto Rico,PR,00603
00604,Aguadilla,Puerto Rico,PR,00603
00605,Aguadilla,Puerto Rico,PR,00603
00606,Maricao,Puerto Rico,PR,00606
00610,Anasco,Puerto Rico,PR,00610
00611,Angeles,Puerto Rico,PR,00641
00612,Arecibo,Puerto Rico,PR,00612
00613,Arecibo,Puerto Rico,PR,00612
00614,Arecibo,Puerto Rico,PR,00612
00616,Bajadero,Puerto Rico,PR,00616
00617,Barceloneta,Puerto Rico,PR,00617
00622,Boqueron,Puerto Rico,PR,00622
00623,Cabo Rojo,Puerto Rico,PR,00623
00624,Penuelas,Puerto Rico,PR,00624
00627,Camuy,Puerto Rico,PR,00627
00631,Castaner,Puerto Rico,PR,00631
00636,Rosario,Puerto Rico,PR,00680
00637,Sabana Grande,Puerto Rico,PR,00637
00638,Ciales,Puerto Rico,PR,00638
00641,Utuado,Puerto Rico,PR,00641
00646,Dorado,Puerto Rico,PR,00646
00647,Ensenada,Puerto Rico,PR,00647
00650,Florida,Puerto Rico,PR,00650
00652,Garrochales,Puerto Rico,PR,00652
00653,Guanica,Puerto Rico,PR,00653
00656,Guayanilla,Puerto Rico,PR,00656
00659,Hatillo,Puerto Rico,PR,00659
00660,Hormigueros,Puerto Rico,PR,00660
00662,Isabela,Puerto Rico,PR,00662
00664,Jayuya,Puerto Rico,PR,00664
00667,Lajas,Puerto Rico,PR,00667
00669,Lares,Puerto Rico,PR,00669
00670,Las Marias,Puerto Rico,PR,00670
00674,Manati,Puerto Rico,PR,00674
00676,Moca,Puerto Rico,PR,00676
00677,Rincon,Puerto Rico,PR,00677
00678,Quebradillas,Puerto Rico,PR,00678
00680,Mayaguez,Puerto Rico,PR,00680
00681,Mayaguez,Puerto Rico,PR,00680
00682,Mayaguez,Puerto Rico,PR,00682
00683,San German,Puerto Rico,PR,00683
00685,San Sebastian,Puerto Rico,PR,00685
00687,Morovis,Puerto Rico,PR,00687
00688,Sabana Hoyos,Puerto Rico,PR,00688
00690,San Antonio,Puerto Rico,PR,00690
00692,Vega Alta,Puerto Rico,PR,00692
00693,Vega Baja,Puerto Rico,PR,00693
00694,Vega Baja,Puerto Rico,PR,00694
00698,Yauco,Puerto Rico,PR,00698
00703,Aguas Buenas,Puerto Rico,PR,00703
00704,Aguirre,Puerto Rico,PR,00704
00705,Aibonito,Puerto Rico,PR,00705
00707,Maunabo,Puerto Rico,PR,00707
00714,Arroyo,Puerto Rico,PR,00714
00715,Mercedita,Puerto Rico,PR,00715
00716,Ponce,Puerto Rico,PR,00716
00717,Ponce,Puerto Rico,PR,00717
00718,Naguabo,Puerto Rico,PR,00718
00719,Naranjito,Puerto Rico,PR,00719
00720,Orocovis,Puerto Rico,PR,00720
00721,Palmer,Puerto Rico,PR,00745
00723,Patillas,Puerto Rico,PR,00723
00725,Caguas,Puerto Rico,PR,00725
00726,Caguas,Puerto Rico,PR,00725
00727,Caguas,Puerto Rico,PR,00727
00728,Ponce,Puerto Rico,PR,00728
00729,Canovanas,Puerto Rico,PR,00729
00730,Ponce,Puerto Rico,PR,00730
00731,Ponce,Puerto Rico,PR,00731
00732,Ponce,Puerto Rico,PR,00731
00733,Ponce,Puerto Rico,PR,00730
00734,Ponce,Puerto Rico,PR,00716
00735,Ceiba,Puerto Rico,PR,00735
00736,Cayey,Puerto Rico,PR,00736
00737,Cayey,Puerto Rico,PR,00736
00738,Fajardo,Puerto Rico,PR,00738
00739,Cidra,Puerto Rico,PR,00739
00740,Puerto Real,Puerto Rico,PR,00740
00741,Punta Santiago,Puerto Rico,PR,00741
00742,Roosevelt Roads,Puerto Rico,PR,00735
00744,Rio Blanco,Puerto Rico,PR,00718
00745,Rio Grande,Puerto Rico,PR,00745
00751,Salinas,Puerto Rico,PR,00751
00754,San Lorenzo,Puerto Rico,PR,00754
00757,Santa Isabel,Puerto Rico,PR,00757
00765,Vieques,Puerto Rico,PR,00765
00766,Villalba,Puerto Rico,PR,00766
00767,Yabucoa,Puerto Rico,PR,00767
00769,Coamo,Puerto Rico,PR,00769
00771,Las Piedras,Puerto Rico,PR,00771
00772,Loiza,Puerto Rico,PR,00772
00773,Luquillo,Puerto Rico,PR,00773
00775,Culebra,Puerto Rico,PR,00775
00777,Juncos,Puerto Rico,PR,00777
00778,Gurabo,Puerto Rico,PR,00778
00780,Coto Laurel,Puerto Rico,PR,00780
00782,Comerio,Puerto Rico,PR,00782
00783,Corozal,Puerto Rico,PR,00783
00784,Guayama,Puerto Rico,PR,00784
00785,Guayama,Puerto Rico,PR,00784
